part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
S02-2,S02-2-P03,J4,PAIR-31,65.66666666666666,20,10.0,10,10,True,L01-1,L01-1-P02,V_MAX,BACK,9C
S02-2,S02-2-P04,J4,PAIR-32,111.33333333333333,20,10.0,10,10,True,L01-2,L01-2-P02,V_MAX,BACK,9D
S02-3,S02-3-P01,J2,PAIR-23,0,0,30,30,10,False,S01-4,S01-4-P01,U_MIN;V_MIN;V_MAX,BACK,A4
S02-3,S02-3-P02,J2,PAIR-18,157.0,0,30.0,30,10,False,S01-3,S01-3-P02,U_MAX;V_MIN;V_MAX,BACK,A5
S02-3,S02-3-P03,J4,PAIR-33,65.66666666666666,20,10.0,10,10,True,L01-4,L01-4-P01,V_MAX,BACK,A6
S02-3,S02-3-P04,J4,PAIR-34,111.33333333333333,20,10.0,10,10,True,L01-3,L01-3-P01,V_MAX,BACK,A7
S02-4,S02-4-P01,J2,PAIR-17,0,0,30,30,10,False,S01-3,S01-3-P01,U_MIN;V_MIN;V_MAX,BACK,AE
S02-4,S02-4-P02,J2,PAIR-24,157.0,0,30.0,30,10,False,S01-4,S01-4-P02,U_MAX;V_MIN;V_MAX,BACK,AF
S02-4,S02-4-P03,J4,PAIR-35,65.66666666666666,20,10.0,10,10,True,L01-3,L01-3-P02,V_MAX,BACK,B0
S02-4,S02-4-P04,J4,PAIR-36,111.33333333333333,20,10.0,10,10,True,L01-4,L01-4-P02,V_MAX,BACK,B1
L01-1,L01-1-P01,J4,PAIR-30,0,0,10,10,10,False,S02-1,S02-1-P04,U_MIN;V_MIN;V_MAX,FRONT,B8
L01-1,L01-1-P02,J4,PAIR-31,450.0,0,10.0,10,10,False,S02-2,S02-2-P03,U_MAX;V_MIN;V_MAX,FRONT,B9
L01-1,L01-1-P03,J3,PAIR-37,90.0,0,10.0,10,10,False,L02-1,L02-1-P03,V_MIN;V_MAX,FRONT,BA
L01-1,L01-1-P04,J3,PAIR-38,180.0,0,10.0,10,10,False,L02-2,L02-2-P03,V_MIN;V_MAX,FRONT,BB
L01-1,L01-1-P05,J3,PAIR-39,270.0,0,10.0,10,10,False,L02-3,L02-3-P03,V_MIN;V_MAX,FRONT,BC
