part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
S02-2,S02-2-P01,J2,PAIR-05,0.0,0,30.0,30,10.0,False,S01-1,S01-1-P01,U_MIN;V_MIN;V_MAX,BACK,9E
S02-2,S02-2-P02,J2,PAIR-12,225.5,0,30.0,30,10.0,False,S01-2,S01-2-P02,U_MAX;V_MIN;V_MAX,BACK,9F
S02-2,S02-2-P03,J4,PAIR-31,88.5,20,10.0,10,10.0,True,L01-1,L01-1-P02,V_MAX,BACK,A0
S02-2,S02-2-P04,J4,PAIR-32,157.0,20,10.0,10,10.0,True,L01-2,L01-2-P02,V_MAX,BACK,A1
S02-3,S02-3-P01,J2,PAIR-23,0.0,0,30.0,30,10.0,False,S01-4,S01-4-P01,U_MIN;V_MIN;V_MAX,BACK,A8
S02-3,S02-3-P02,J2,PAIR-18,225.5,0,30.0,30,10.0,False,S01-3,S01-3-P02,U_MAX;V_MIN;V_MAX,BACK,A9
S02-3,S02-3-P03,J4,PAIR-33,88.5,20,10.0,10,10.0,True,L01-4,L01-4-P01,V_MAX,BACK,AA
S02-3,S02-3-P04,J4,PAIR-34,157.0,20,10.0,10,10.0,True,L01-3,L01-3-P01,V_MAX,BACK,AB
S02-4,S02-4-P01,J2,PAIR-17,0.0,0,30.0,30,10.0,False,S01-3,S01-3-P01,U_MIN;V_MIN;V_MAX,BACK,B2
S02-4,S02-4-P02,J2,PAIR-24,225.5,0,30.0,30,10.0,False,S01-4,S01-4-P02,U_MAX;V_MIN;V_MAX,BACK,B3
S02-4,S02-4-P03,J4,PAIR-35,88.5,20,10.0,10,10.0,True,L01-3,L01-3-P02,V_MAX,BACK,B4
S02-4,S02-4-P04,J4,PAIR-36,157.0,20,10.0,10,10.0,True,L01-4,L01-4-P02,V_MAX,BACK,B5
L01-1,L01-1-P01,J4,PAIR-30,0,0.0,10,10.0,10.0,False,S02-1,S02-1-P04,U_MIN;V_MIN;V_MAX,FRONT,BC
L01-1,L01-1-P02,J4,PAIR-31,664,0.0,10,10.0,10.0,False,S02-2,S02-2-P03,U_MAX;V_MIN;V_MAX,FRONT,BD
L01-1,L01-1-P03,J3,PAIR-37,132.8,0.0,10.0,10.0,10.0,False,L02-1,L02-1-P03,V_MIN;V_MAX,FRONT,BE
L01-1,L01-1-P04,J3,PAIR-38,265.6,0.0,10.0,10.0,10.0,False,L02-2,L02-2-P03,V_MIN;V_MAX,FRONT,BF
L01-1,L01-1-P05,J3,PAIR-39,398.4,0.0,10.0,10.0,10.0,False,L02-3,L02-3-P03,V_MIN;V_MAX,FRONT,C0
L01-1,L01-1-P06,J3,PAIR-40,531.2,0.0,10.0,10.0,10.0,False,L02-4,L02-4-P03,V_MIN;V_MAX,FRONT,C1
L01-2,L01-2-P01,J4,PAIR-29,0,0.0,10,10.0,10.0,False,S02-1,S02-1-P03,U_MIN;V_MIN;V_MAX,FRONT,C4
L01-2,L01-2-P02,J4,PAIR-32,664,0.0,10,10.0,10.0,False,S02-2,S02-2-P04,U_MAX;V_MIN;V_MAX,FRONT,C5
L01-2,L01-2-P03,J3,PAIR-41,132.8,0.0,10.0,10.0,10.0,False,L02-1,L02-1-P04,V_MIN;V_MAX,FRONT,C6
L01-2,L01-2-P04,J3,PAIR-42,265.6,0.0,10.0,10.0,10.0,False,L02-2,L02-2-P04,V_MIN;V_MAX,FRONT,C7
L01-2,L01-2-P05,J3,PAIR-43,398.4,0.0,10.0,10.0,10.0,False,L02-3,L02-3-P04,V_MIN;V_MAX,FRONT,C8
L01-2,L01-2-P06,J3,PAIR-44,531.2,0.0,10.0,10.0,10.0,False,L02-4,L02-4-P04,V_MIN;V_MAX,FRONT,C9
L01-3,L01-3-P01,J4,PAIR-34,0,0.0,10,10.0,10.0,False,S02-3,S02-3-P04,U_MIN;V_MIN;V_MAX,FRONT,CC
L01-3,L01-3-P02,J4,PAIR-35,664,0.0,10,10.0,10.0,False,S02-4,S02-4-P03,U_MAX;V_MIN;V_MAX,FRONT,CD
L01-3,L01-3-P03,J3,PAIR-45,132.8,0.0,10.0,10.0,10.0,False,L02-5,L02-5-P03,V_MIN;V_MAX,FRONT,CE
L01-3,L01-3-P04,J3,PAIR-46,265.6,0.0,10.0,10.0,10.0,False,L02-6,L02-6-P03,V_MIN;V_MAX,FRONT,CF
L01-3,L01-3-P05,J3,PAIR-47,398.4,0.0,10.0,10.0,10.0,False,L02-7,L02-7-P03,V_MIN;V_MAX,FRONT,D0
L01-3,L01-3-P06,J3,PAIR-48,531.2,0.0,10.0,10.0,10.0,False,L02-8,L02-8-P03,V_MIN;V_MAX,FRONT,D1
L01-4,L01-4-P01,J4,PAIR-33,0,0.0,10,10.0,10.0,False,S02-3,S02-3-P03,U_MIN;V_MIN;V_MAX,FRONT,D4
L01-4,L01-4-P02,J4,PAIR-36,664,0.0,10,10.0,10.0,False,S02-4,S02-4-P04,U_MAX;V_MIN;V_MAX,FRONT,D5
L01-4,L01-4-P03,J3,PAIR-49,132.8,0.0,10.0,10.0,10.0,False,L02-5,L02-5-P04,V_MIN;V_MAX,FRONT,D6
L01-4,L01-4-P04,J3,PAIR-50,265.6,0.0,10.0,10.0,10.0,False,L02-6,L02-6-P04,V_MIN;V_MAX,FRONT,D7
L01-4,L01-4-P05,J3,PAIR-51,398.4,0.0,10.0,10.0,10.0,False,L02-7,L02-7-P04,V_MIN;V_MAX,FRONT,D8
L01-4,L01-4-P06,J3,PAIR-52,531.2,0.0,10.0,10.0,10.0,False,L02-8,L02-8-P04,V_MIN;V_MAX,FRONT,D9
L02-1,L02-1-P01,J4,PAIR-10,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P06,U_MIN;V_MIN;V_MAX,BACK,DC
L02-1,L02-1-P02,J4,PAIR-13,205.5,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P03,U_MAX;V_MIN;V_MAX,BACK,DD
L02-1,L02-1-P03,J3,PAIR-37,68.5,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P03,V_MIN;V_MAX,BACK,DE
L02-1,L02-1-P04,J3,PAIR-41,137.0,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P03,V_MIN;V_MAX,BACK,DF
L02-2,L02-2-P01,J4,PAIR-09,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P05,U_MIN;V_MIN;V_MAX,BACK,E2
L02-2,L02-2-P02,J4,PAIR-14,205.5,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P04,U_MAX;V_MIN;V_MAX,BACK,E3
L02-2,L02-2-P03,J3,PAIR-38,68.5,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P04,V_MIN;V_MAX,BACK,E4
L02-2,L02-2-P04,J3,PAIR-42,137.0,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P04,V_MIN;V_MAX,BACK,E5
L02-3,L02-3-P01,J4,PAIR-08,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P04,U_MIN;V_MIN;V_MAX,BACK,E8
L02-3,L02-3-P02,J4,PAIR-15,205.5,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P05,U_MAX;V_MIN;V_MAX,BACK,E9
L02-3,L02-3-P03,J3,PAIR-39,68.5,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P05,V_MIN;V_MAX,BACK,EA
L02-3,L02-3-P04,J3,PAIR-43,137.0,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P05,V_MIN;V_MAX,BACK,EB
L02-4,L02-4-P01,J4,PAIR-07,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P03,U_MIN;V_MIN;V_MAX,BACK,EE
L02-4,L02-4-P02,J4,PAIR-16,205.5,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P06,U_MAX;V_MIN;V_MAX,BACK,EF
L02-4,L02-4-P03,J3,PAIR-40,68.5,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P06,V_MIN;V_MAX,BACK,F0
L02-4,L02-4-P04,J3,PAIR-44,137.0,0.0,10.0,10.0,10.0,False,L01-2,L01-2-P06,V_MIN;V_MAX,BACK,F1
L02-5,L02-5-P01,J4,PAIR-22,0.0,0.0,10.0,10.0,10.0,False,S01-3,S01-3-P06,U_MIN;V_MIN;V_MAX,BACK,F4
L02-5,L02-5-P02,J4,PAIR-25,205.5,0.0,10.0,10.0,10.0,False,S01-4,S01-4-P03,U_MAX;V_MIN;V_MAX,BACK,F5
L02-5,L02-5-P03,J3,PAIR-45,68.5,0.0,10.0,10.0,10.0,False,L01-3,L01-3-P03,V_MIN;V_MAX,BACK,F6
L02-5,L02-5-P04,J3,PAIR-49,137.0,0.0,10.0,10.0,10.0,False,L01-4,L01-4-P03,V_MIN;V_MAX,BACK,F7
L02-6,L02-6-P01,J4,PAIR-21,0.0,0.0,10.0,10.0,10.0,False,S01-3,S01-3-P05,U_MIN;V_MIN;V_MAX,BACK,FA
L02-6,L02-6-P02,J4,PAIR-26,205.5,0.0,10.0,10.0,10.0,False,S01-4,S01-4-P04,U_MAX;V_MIN;V_MAX,BACK,FB
L02-6,L02-6-P03,J3,PAIR-46,68.5,0.0,10.0,10.0,10.0,False,L01-3,L01-3-P04,V_MIN;V_MAX,BACK,FC
L02-6,L02-6-P04,J3,PAIR-50,137.0,0.0,10.0,10.0,10.0,False,L01-4,L01-4-P04,V_MIN;V_MAX,BACK,FD
L02-7,L02-7-P01,J4,PAIR-20,0.0,0.0,10.0,10.0,10.0,False,S01-3,S01-3-P04,U_MIN;V_MIN;V_MAX,BACK,100
L02-7,L02-7-P02,J4,PAIR-27,205.5,0.0,10.0,10.0,10.0,False,S01-4,S01-4-P05,U_MAX;V_MIN;V_MAX,BACK,101
L02-7,L02-7-P03,J3,PAIR-47,68.5,0.0,10.0,10.0,10.0,False,L01-3,L01-3-P05,V_MIN;V_MAX,BACK,102
L02-7,L02-7-P04,J3,PAIR-51,137.0,0.0,10.0,10.0,10.0,False,L01-4,L01-4-P05,V_MIN;V_MAX,BACK,103
L02-8,L02-8-P01,J4,PAIR-19,0.0,0.0,10.0,10.0,10.0,False,S01-3,S01-3-P03,U_MIN;V_MIN;V_MAX,BACK,106
L02-8,L02-8-P02,J4,PAIR-28,205.5,0.0,10.0,10.0,10.0,False,S01-4,S01-4-P06,U_MAX;V_MIN;V_MAX,BACK,107
L02-8,L02-8-P03,J3,PAIR-48,68.5,0.0,10.0,10.0,10.0,False,L01-3,L01-3-P06,V_MIN;V_MAX,BACK,108
L02-8,L02-8-P04,J3,PAIR-52,137.0,0.0,10.0,10.0,10.0,False,L01-4,L01-4-P06,V_MIN;V_MAX,BACK,109
